id,name,count,image,era,image_url
1,21 Savage,2988,,2010s,https://pudding.cool/projects/vocabulary/assets/images/21-savage.png
2,2 Chainz,4148,,2010s,https://pudding.cool/projects/vocabulary/assets/images/2chainz.png
3,2Pac,"3,970",,1990s,https://pudding.cool/projects/vocabulary/assets/images/2pac.png
4,50 Cent,"3,591",,2000s,https://pudding.cool/projects/vocabulary/assets/images/50-cent.png
5,Ab-Soul,4534,,2010s,https://pudding.cool/projects/vocabulary/assets/images/absoul.png
6,Action Bronson,6186,,2010s,https://pudding.cool/projects/vocabulary/assets/images/action.png
7,Aesop Rock,"7,392",,2000s,https://pudding.cool/projects/vocabulary/assets/images/aesop.png
8,A$AP Rocky,4414,,2010s,https://pudding.cool/projects/vocabulary/assets/images/asap.png
9,A$AP Ferg,3851,,2010s,https://pudding.cool/projects/vocabulary/assets/images/asap-ferg.png
10,Atmosphere,4829,,2000s,https://pudding.cool/projects/vocabulary/assets/images/atmosphere.png
11,Beastie Boys,"5,090",,1980s,https://pudding.cool/projects/vocabulary/assets/images/beastie-boys.png
12,Big Daddy Kane,"4,768",,1980s,https://pudding.cool/projects/vocabulary/assets/images/big-daddy-kane.png
13,Big KRIT,3823,,2010s,https://pudding.cool/projects/vocabulary/assets/images/big-krit.png
14,Big L,4011,,1990s,https://pudding.cool/projects/vocabulary/assets/images/big-l.png
15,Big Sean,3563,,2010s,https://pudding.cool/projects/vocabulary/assets/images/big-sean.png
16,Biz Markie,"4,313",,1980s,https://pudding.cool/projects/vocabulary/assets/images/biz-markie.png
17,Blackalicious,"5,480",,2000s,https://pudding.cool/projects/vocabulary/assets/images/blackalicious.png
18,BoB,"3,748",,2010s,https://pudding.cool/projects/vocabulary/assets/images/bob.png
19,Bone Thugs-n-Harmony,"3,219",,1990s,https://pudding.cool/projects/vocabulary/assets/images/bone-thugs.png
20,A Boogie wit da Hoodie,2738,,2010s,https://pudding.cool/projects/vocabulary/assets/images/boogie-hoodie.png
21,Brand Nubian,"4,609",,1990s,https://pudding.cool/projects/vocabulary/assets/images/brand-nubian.png
22,Brockhampton,3924,,2010s,https://pudding.cool/projects/vocabulary/assets/images/brockhampton.png
23,Brother Ali,"4,700",,2000s,https://pudding.cool/projects/vocabulary/assets/images/brother-ali.png
24,Busdriver,7324,,2000s,https://pudding.cool/projects/vocabulary/assets/images/busdriver.png
25,Busta Rhymes,"4,839",,1990s,https://pudding.cool/projects/vocabulary/assets/images/busta-rhymes.png
26,Cam'ron,"4,406",,2000s,https://pudding.cool/projects/vocabulary/assets/images/camron.png
27,Canibus,"5,991",,2000s,https://pudding.cool/projects/vocabulary/assets/images/canibus.png
28,Childish Gambino,4465,,2010s,https://pudding.cool/projects/vocabulary/assets/images/childish.png
29,Common,"4,974",,1990s,https://pudding.cool/projects/vocabulary/assets/images/common.png
30,CunninLynguists,"5,971",,2000s,https://pudding.cool/projects/vocabulary/assets/images/cunninlynguists.png
31,Cupcakke,3965,,2010s,https://pudding.cool/projects/vocabulary/assets/images/cupcakke.png
32,Cypress Hill,"4,568",,1990s,https://pudding.cool/projects/vocabulary/assets/images/cypress-hill.png
33,Danny Brown,,,2010s,https://pudding.cool/projects/vocabulary/assets/images/danny.png
34,Das EFX,"5,005",,1990s,https://pudding.cool/projects/vocabulary/assets/images/das-efx.png
35,De La Soul,"4,933",,1990s,https://pudding.cool/projects/vocabulary/assets/images/de-la-soul.png
36,Death Grips,"4,282",,2010s,https://pudding.cool/projects/vocabulary/assets/images/death.png
37,Del the Funky Homosapian,6135,,1990s,https://pudding.cool/projects/vocabulary/assets/images/del.png
38,Denzel Curry,4426,,2010s,https://pudding.cool/projects/vocabulary/assets/images/denzel.png
39,Dizzee Rascal,3863,,2000s,https://pudding.cool/projects/vocabulary/assets/images/dizzee-rascal.png
40,DMX,"2,936",,1990s,https://pudding.cool/projects/vocabulary/assets/images/dmx.png
41,Drake,"3,347",,2010s,https://pudding.cool/projects/vocabulary/assets/images/drake.png
